"subj","sex","age","period","group","mat_rank","groupmates","num_mat_kin","fai","rain","PC1","PC2","PC3","time_moving","time_groom_groomed","time_groom","time_groomed","time_playing","prop_gm_kin","prop_gm_nonkin","dfgc","cp"
"mole","M",2.37645448323066,"p1","gn",0.737,46,8,3671093.21778846,7.9016393442623,1.90696352022989,-0.0748820107935717,0.694718504651341,24.1666666666667,10.4166666666667,7.91666666666667,2.5,0.208333333333333,6.25,0.833333333333333,-44.1904761904763,-0.921487031317449
"mole","M",2.54346338124572,"p2","gn",0.737,46,8,61750456.8108974,8.70491803278689,0.503509560297744,-0.926080214273344,0.914422081954643,22.9032258064516,3.54838709677419,1.7741935483871,1.7741935483871,0.483870967741935,1.7741935483871,0,-68.7571428571429,-0.378145407435564
"mole","M",2.71047227926078,"p3","gn",0.737,45,8,215585523.947596,4.37741935483871,0.447475675154742,-0.618862499396757,0.283744628224097,22.8333333333333,2.83333333333333,2,0.833333333333333,0.5,2,0,-44.2571428571429,-0.222206740039191
"mole","M",2.87474332648871,"p4","gn",0.737,44,8,21231305.5269231,1.9271186440678,0.646665011698881,-1.03242140171419,0.267058590428715,24.2424242424242,5.3030303030303,4.24242424242424,1.06060606060606,0.909090909090909,3.78787878787879,0.454545454545455,128.967857142857,0.865600255758065
"onyx","M",2.55441478439425,"p1","twn",0.909,29,3,3512770.18541667,7.9016393442623,-1.38990906813742,0.409047477628294,-1.62587264323303,18.9583333333333,2.08333333333333,0,2.08333333333333,4.16666666666667,0,0,-235.491666666667,0.626334910814514
"onyx","M",2.72142368240931,"p2","twn",0.909,29,3,62577136.4432916,8.70491803278689,-1.55382305817009,-0.00901129681561082,-2.07120222261127,18.1666666666667,3.33333333333333,1.33333333333333,2,6.66666666666667,0,1.33333333333333,51.7999999999999,-0.257735014949897
"onyx","M",2.88843258042437,"p3","twn",0.909,29,3,187855194.336458,4.37741935483871,-2.43189083226948,-1.28620469725985,-0.564538317011695,17.3333333333333,0.833333333333333,0.333333333333333,0.5,6.66666666666667,0.166666666666667,0.166666666666667,-0.265000000000077,0.0769907514510413
"onyx","M",3.05270362765229,"p4","twn",0.909,29,3,53437630.8114583,1.9271186440678,-0.528373276691282,-1.67188940651401,-0.542802550664155,18.2094081942337,5.15933232169954,2.27617602427921,2.88315629742033,0.606980273141123,1.21396054628225,1.06221547799697,125.15,0.486025944749284
"pam","F",2.48323066392882,"p1","twn",0.091,29,4,3512770.18541667,7.9016393442623,2.13978293102125,-1.0813934793314,-0.142190862230944,21.25,11.4583333333333,5,6.45833333333333,0,2.08333333333333,3.125,44.5283333333333,-0.246869351963904
"pam","F",2.65023956194387,"p2","twn",0.091,29,4,62577136.4432916,8.70491803278689,-0.41966353803357,-1.64245305326613,-0.323871187345097,19.134775374376,2.32945091514143,0.998336106489185,1.33111480865225,0.998336106489185,0,0.998336106489185,-310.713333333333,0.85576448898573
"pam","F",2.81724845995893,"p3","twn",0.091,29,4,187855194.336458,4.37741935483871,-0.271140083074325,-2.08987729813066,-0.251305211382215,22.20367278798,1.83639398998331,1.3355592654424,0.500834724540901,0.500834724540901,0.1669449081803,1.1686143572621,73.7533333333334,0.769216084772303
"pam","F",2.98151950718686,"p4","twn",0.091,29,4,53437630.8114583,1.9271186440678,0.25817265803849,-0.834615051899176,-0.314212064695217,17.8787878787879,3.63636363636364,1.66666666666667,1.96969696969697,1.06060606060606,0,1.66666666666667,114.753333333333,-0.415208438011836
"peke","M",4.67077344284736,"p1","tws",0.174,55,2,10523384.2534722,7.9016393442623,-1.86025569875438,1.37557158957059,-0.828719012614004,17.9916317991632,0.836820083682008,0.209205020920502,0.627615062761506,5.23012552301255,0.209205020920502,0,-46.8,0.0516320935459142
